id,on_site_interviews,faculty_offers,covid_offers_rescinded,offer_responses,race_ethnicity,R1_apps_submitted,PUI_apps_submitted,gender,research_category,covid_alter_research,position,first_gen_phd,commitment_impact
188,0,0,0,I did not recieve any offers,North American Hispanic/Latinx,4,32,Man,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
189,2,0,0,I did not recieve any offers,Caucasian-American/European,17,10,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
190,0,NA,NA,I did not recieve any offers,Caucasian-American/European,0,1,Man,Biological Sciences,Somewhat,NA,Yes,Become weaker
191,0,NA,NA,I did not recieve any offers,Caucasian-American/European,1,14,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
193,12,5,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because the start up package was insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,29,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
194,1,0,NA,I did not recieve any offers,Caucasian-American/European,27,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
195,2,2,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,2,18,Non-binary,Mathematical & Physical Sciences,NA,Postdoc,No,Not changed
196,5,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the start up package was insufficient",Caucasian-American/European,9,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
197,3,0,1,I did not recieve any offers,Caucasian-American/European,3,13,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
198,0,NA,NA,I did not recieve any offers,Caucasian-American/European,2,0,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
199,1,0,NA,I did not recieve any offers,Caucasian-American/European,17,0,Man,Biological Sciences,Not at all,Postdoc,Yes,Not changed
200,2,0,0,I did not recieve any offers,Caucasian-American/European,40,0,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
201,3,0,NA,I did not recieve any offers,Caucasian-American/European,66,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Become stronger
202,3,2,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,12,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
203,3,1,0,I accepted an offer at a research-intensive institution,"Caucasian-American/European,Asian-American/Asian",12,0,Woman,Biological Sciences,NA,Postdoc,No,Not changed
204,2,2,0,I rejected offer(s) because the position did not fit my career goals,"Caucasian-American/European,Caribbean Islander (e.g., Puerto Rico, Trinidad)",25,6,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
205,0,0,0,I did not recieve any offers,Caucasian-American/European,0,1,Man,Humanities,NA,NA,No,Become weaker
206,13,1,0,I accepted an offer at a research-intensive institution,"Caucasian-American/European,Asian-American/Asian",40,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
207,2,0,1,I did not recieve any offers,South/Central American,4,6,Woman,Biological Sciences,NA,NA,Yes,Become weaker
208,3,0,0,I did not recieve any offers,"African-American/Black/African,Asian-American/Asian",14,3,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
210,1,1,0,I accepted an offer at a primarily undergraduate institution,"African-American/Black/African,Asian-American/Asian",1,2,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
211,0,1,NA,I did not recieve any offers,Caucasian-American/European,2,5,Woman,Humanities,NA,NA,Yes,Become weaker
212,1,0,NA,I did not recieve any offers,Caucasian-American/European,5,15,Woman,Humanities,Somewhat,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
213,2,NA,0,I accepted an offer at a primarily undergraduate institution,Asian-American/Asian,60,60,Man,Mathematical & Physical Sciences,NA,PhD Candidate (ABD),Yes,Become weaker
214,3,2,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,5,5,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
215,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,1,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
216,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,7,8,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,No,Not changed
217,2,0,0,I did not recieve any offers,Caucasian-American/European,1,2,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
218,7,4,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,12,0,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
219,3,0,NA,I did not recieve any offers,Caucasian-American/European,33,10,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Not changed
220,3,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,17,5,Woman,Biological Sciences,NA,NA,No,Become stronger
221,2,0,0,I did not recieve any offers,Caucasian-American/European,15,20,Non-binary,Humanities,Somewhat,PhD Candidate (ABD),Yes,Become weaker
222,1,0,NA,NA,Asian-American/Asian,22,4,Woman,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
223,1,0,NA,NA,Asian-American/Asian,25,5,Man,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Become weaker
224,0,0,NA,I did not recieve any offers,Asian-American/Asian,0,0,Man,Geosciences,NA,Postdoc,Yes,Not changed
225,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,6,2,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Become weaker
226,0,0,NA,I did not recieve any offers,Caucasian-American/European,7,3,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
227,3,1,0,I accepted an offer at a research-intensive institution,"Oceania (e.g., Australian/New Zealander)",7,0,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
228,1,0,0,I did not recieve any offers,Caucasian-American/European,3,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
229,2,1,0,NA,Caucasian-American/European,20,0,Woman,Biological Sciences,NA,Postdoc,No,Not changed
231,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,8,0,Woman,Biological Sciences,NA,NA,Yes,Not changed
232,1,0,0,I did not recieve any offers,Asian-American/Asian,9,0,Man,Geosciences,NA,PhD Candidate (ABD),Yes,Become weaker
233,2,2,0,I accepted an offer at a research-intensive institution,African-American/Black/African,6,8,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
235,1,0,0,I did not recieve any offers,Asian-American/Asian,27,0,Man,Biological Sciences,NA,Postdoc,No,Become weaker
236,3,0,NA,I did not recieve any offers,Caucasian-American/European,15,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Not changed
237,1,0,NA,I did not recieve any offers,Caucasian-American/European,NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Not changed
238,0,0,NA,I did not recieve any offers,Caucasian-American/European,2,4,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Become weaker
239,5,3,2,NA,North American Hispanic/Latinx,35,35,Man,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
240,5,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,24,0,Woman,Engineering,Not at all,Postdoc,Yes,Not changed
241,3,0,NA,I did not recieve any offers,"African-American/Black/African,Caribbean Islander (e.g., Puerto Rico, Trinidad)",2,8,Woman,Humanities,NA,Postdoc,Yes,Not changed
242,1,0,0,I did not recieve any offers,Caucasian-American/European,40,15,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
243,1,1,NA,"I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",South/Central American,40,30,Woman,Humanities,Not at all,PhD Candidate (ABD),Yes,Become weaker
244,0,0,NA,I did not recieve any offers,Asian-American/Asian,1,3,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Not changed
245,0,0,NA,I did not recieve any offers,Caucasian-American/European,3,4,Non-binary,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
246,2,1,0,I accepted an offer at a primarily undergraduate institution,Asian-American/Asian,NA,NA,Woman,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),No,Not changed
247,4,0,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,43,3,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
248,2,0,NA,I did not recieve any offers,"Caucasian-American/European,Asian-American/Asian,North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",3,0,Man,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
249,3,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,8,1,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
251,4,1,0,I accepted an offer at a primarily undergraduate institution,North American Hispanic/Latinx,2,28,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
252,2,0,NA,I did not recieve any offers,Asian-American/Asian,6,2,Man,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
253,0,0,NA,I did not recieve any offers,Asian-American/Asian,8,2,Man,Humanities,NA,Postdoc,No,Become weaker
254,5,1,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,0,12,Woman,"Social, Behavior, & Economic Sciences",Not at all,NA,Yes,Not changed
255,0,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),No,Not changed
256,1,NA,NA,NA,Caucasian-American/European,2,1,Woman,Humanities,NA,NA,Yes,Become weaker
257,1,1,1,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals",Caucasian-American/European,25,80,Man,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
258,0,0,NA,I did not recieve any offers,Caucasian-American/European,52,3,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
259,1,0,NA,I did not recieve any offers,Asian-American/Asian,3,1,Woman,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Become weaker
260,0,0,0,I did not recieve any offers,Caucasian-American/European,5,5,Woman,Geosciences,Not at all,NA,No,Become weaker
261,0,0,NA,I did not recieve any offers,Caucasian-American/European,15,0,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Become weaker
262,8,3,1,I accepted an offer at a research-intensive institution,Asian-American/Asian,90,75,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
263,8,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit",Caucasian-American/European,36,0,Man,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
264,4,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,17,3,Woman,Biological Sciences,NA,Postdoc,No,Become stronger
266,9,2,0,"I rejected offer(s) for geographic fit,I rejected offer(s) because the position did not fit my career goals","North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",4,16,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
267,NA,0,NA,I did not recieve any offers,Caucasian-American/European,0,1,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
268,0,0,0,I did not recieve any offers,Caucasian-American/European,12,16,Man,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
269,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,20,65,Man,Humanities,NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
270,9,0,NA,I did not recieve any offers,North American Hispanic/Latinx,3,0,Woman,Humanities,NA,NA,Yes,Become weaker
271,0,0,0,I did not recieve any offers,South/Central American,22,0,Woman,Biological Sciences,NA,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
272,4,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,13,20,Man,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Become stronger
273,0,0,0,I did not recieve any offers,Caucasian-American/European,0,2,Man,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Not changed
274,0,2,0,"I accepted an offer at a primarily undergraduate institution,I accepted an offer at a research-intensive institution",Caucasian-American/European,3,5,Woman,"Social, Behavior, & Economic Sciences",Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
275,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Man,Engineering,Not at all,Postdoc,No,Become weaker
276,0,0,NA,NA,Caucasian-American/European,0,0,Man,Geosciences,NA,Postdoc,Yes,NA
277,2,2,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,4,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
278,2,2,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,18,20,Man,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
279,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,3,Man,Humanities,NA,NA,Yes,Not changed
280,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,3,Woman,Biological Sciences,Not at all,Postdoc,No,Become stronger
281,3,0,NA,I did not recieve any offers,Caucasian-American/European,10,10,Woman,"Social, Behavior, & Economic Sciences",NA,Non-tenure track faculty (e.g. research associate…),Yes,Not changed
282,0,NA,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,0,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
283,4,1,0,"I rejected offer(s) because of reduced resources directly related to the economic impact of Covid-19,I rejected offer(s) because of other reasons pertaining to the impact of Covid-19",Caucasian-American/European,60,15,Man,Biological Sciences,Not at all,NA,Yes,Become weaker
284,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,6,3,Woman,Humanities,NA,Non-tenure track faculty (e.g. research associate…),No,Become weaker
285,2,0,NA,NA,African-American/Black/African,0,30,Woman,Humanities,NA,NA,No,Become weaker
286,0,0,0,I did not recieve any offers,Caucasian-American/European,3,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
287,1,1,0,I accepted an offer at a research-intensive institution,Asian-American/Asian,15,4,Man,Humanities,NA,PhD Candidate (ABD),Yes,Become stronger
288,0,NA,0,NA,Caucasian-American/European,0,0,Woman,Integrated Sciences,NA,Postdoc,Yes,Become weaker
289,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,1,Woman,Humanities,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become stronger
290,0,0,0,I did not recieve any offers,Asian-American/Asian,0,2,Man,Chemistry,NA,Postdoc,Yes,Not changed
291,1,0,0,I did not recieve any offers,Asian-American/Asian,16,0,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
292,1,1,1,NA,Caucasian-American/European,NA,5,Woman,"Social, Behavior, & Economic Sciences",Not at all,Postdoc,Yes,Become weaker
293,7,3,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit,I rejected offer(s) because of other family needs",Caucasian-American/European,70,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
294,5,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for geographic fit",Asian-American/Asian,46,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
295,1,1,0,I rejected offer(s) because of spouse/partner job prospects,Caucasian-American/European,0,0,Woman,Humanities,NA,Postdoc,Yes,Become stronger
296,1,0,0,I did not recieve any offers,Caucasian-American/European,6,12,Woman,Mathematical & Physical Sciences,NA,Postdoc,No,Become weaker
297,0,0,NA,I did not recieve any offers,Caucasian-American/European,5,2,Man,Biological Sciences,NA,Postdoc,Yes,Become weaker
298,1,0,NA,I did not recieve any offers,Caucasian-American/European,2,0,Woman,Biological Sciences,Somewhat,Non-tenure track faculty (e.g. research associate…),No,Become weaker
299,0,0,0,NA,Not Listed,0,0,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
300,3,0,0,I did not recieve any offers,NA,40,0,Unlisted gender,Biological Sciences,NA,Postdoc,Yes,Become weaker
301,1,1,0,I accepted an offer at a research-intensive institution,African-American/Black/African,6,0,Woman,"Social, Behavior, & Economic Sciences",NA,PhD Candidate (ABD),Yes,Become stronger
302,5,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,18,Woman,Chemistry,Not at all,PhD Candidate (ABD),Yes,Become stronger
303,2,0,NA,I did not recieve any offers,"Caucasian-American/European,Oceania (e.g., Australian/New Zealander)",3,3,Woman,Biological Sciences,Not at all,NA,No,Become weaker
304,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Engineering,Not at all,Postdoc,Yes,Become weaker
305,3,0,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,6,3,Woman,Engineering,Somewhat,Postdoc,Yes,Become stronger
306,4,3,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,25,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
307,2,0,NA,I did not recieve any offers,Caucasian-American/European,2,0,Man,Engineering,"Yes, significant changes",Postdoc,Yes,Not changed
308,1,0,0,I did not recieve any offers,North American Hispanic/Latinx,1,0,Woman,Biological Sciences,Not at all,Postdoc,No,Not changed
309,0,0,0,I did not recieve any offers,Caucasian-American/European,2,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
310,0,0,0,I did not recieve any offers,"North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",1,0,Man,"Social, Behavior, & Economic Sciences",Somewhat,Postdoc,Yes,Become stronger
311,4,0,0,I did not recieve any offers,Not Listed,35,0,Man,Chemistry,NA,Postdoc,Yes,Not changed
313,2,0,1,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,9,2,Woman,"Social, Behavior, & Economic Sciences",NA,NA,Yes,Become stronger
316,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,2,0,Woman,Biological Sciences,NA,NA,Yes,Become stronger
317,3,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) for reasons not listed above",Caucasian-American/European,20,12,Man,"Social, Behavior, & Economic Sciences",Not at all,PhD Candidate (ABD),Yes,Not changed
318,1,"They have not made any offers yet, hiring freeze purgatory",0,NA,Caucasian-American/European,0,1,Woman,Chemistry,NA,Postdoc,Yes,Not changed
319,0,0,NA,I did not recieve any offers,"Caucasian-American/European,Caucasian-American/North African or Middle Eastern,Asian-American/Asian",12,3,Woman,Engineering,Not at all,Postdoc,Yes,Become weaker
320,8,2,0,"I accepted an offer at a research-intensive institution,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/European,45,4,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
321,NA,NA,NA,NA,Asian-American/Asian,NA,NA,Woman,Biological Sciences,NA,Postdoc,No,Become stronger
322,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,1,2,Woman,Biological Sciences,Not at all,PhD Candidate (ABD),No,Not changed
323,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,1,1,Man,Biological Sciences,Not at all,Postdoc,No,Become stronger
324,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,40,1,Woman,Geosciences,NA,Postdoc,Yes,Become stronger
325,NA,NA,NA,I did not recieve any offers,Asian-American/Asian,1,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
326,1,0,0,I did not recieve any offers,Caucasian-American/European,2,0,Woman,Biological Sciences,Not at all,Postdoc,No,Not changed
327,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,35,0,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become stronger
328,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,30,Woman,"Social, Behavior, & Economic Sciences",Somewhat,NA,Yes,Become weaker
329,0,0,0,I did not recieve any offers,Asian-American/Asian,0,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become stronger
330,4,0,2,NA,Caucasian-American/European,0,12,Man,Biological Sciences,Not at all,Non-tenure track faculty (e.g. research associate…),Yes,Become weaker
331,0,0,0,I did not recieve any offers,Caucasian-American/European,3,0,Non-binary,Humanities,NA,Postdoc,Yes,Become weaker
332,2,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,32,4,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,No,Become weaker
333,0,0,NA,I did not recieve any offers,Asian-American/Asian,0,2,Man,Humanities,Not at all,NA,Yes,Become weaker
335,3,0,0,I did not recieve any offers,Asian-American/Asian,4,0,Woman,Biological Sciences,NA,Postdoc,Yes,NA
336,NA,NA,NA,NA,Asian-American/Asian,0,0,Man,Biological Sciences,"Yes, significant changes",Postdoc,Yes,Not changed
337,3,1,NA,I accepted an offer at a research-intensive institution,Caucasian-American/European,34,1,Woman,Engineering,Not at all,Postdoc,No,Become weaker
338,2,2,NA,I accepted an offer at a research-intensive institution,"North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",NA,NA,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,NA
339,3,2,0,I accepted an offer at a research-intensive institution,African-American/Black/African,12,11,Woman,Humanities,NA,PhD Candidate (ABD),Yes,Not changed
340,0,0,0,I did not recieve any offers,Caucasian-American/European,10,0,Man,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
341,4,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,30,0,Man,Biological Sciences,NA,Postdoc,Yes,Become stronger
342,NA,NA,NA,NA,Asian-American/Asian,3,NA,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
343,0,0,0,I did not recieve any offers,Caucasian-American/European,10,10,Man,Humanities,Not at all,NA,Yes,Become weaker
344,0,0,NA,I did not recieve any offers,Caucasian-American/European,0,1,Woman,Biological Sciences,NA,Postdoc,Yes,Not changed
345,0,0,0,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become weaker
347,0,0,NA,NA,Not Listed,2,0,Man,Biological Sciences,Somewhat,Postdoc,Yes,Not changed
348,0,0,NA,I did not recieve any offers,"Caucasian-American/European,African-American/Black/African,Asian-American/Asian,Caribbean Islander (e.g., Puerto Rico, Trinidad),Not Listed",5,5,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
349,1,0,NA,I did not recieve any offers,Caucasian-American/European,0,2,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become weaker
350,1,none yet (wating to hear back from the two above),NA,NA,Not Listed,15,0,Man,"Social, Behavior, & Economic Sciences",Somewhat,Postdoc,Yes,NA
351,0,0,0,I did not recieve any offers,Caucasian-American/European,3,0,Woman,Biological Sciences,NA,Postdoc,No,Become weaker
352,0,0,NA,NA,Caucasian-American/European,0,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
353,1,1,0,I accepted an offer at a research-intensive institution,Caucasian-American/European,20,5,Woman,Biological Sciences,Not at all,Postdoc,No,Become weaker
354,0,0,0,NA,Caucasian-American/European,5,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
355,0,0,0,I did not recieve any offers,Caucasian-American/European,7,1,Woman,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
356,0,NA,NA,I did not recieve any offers,Caucasian-American/European,0,0,Woman,Integrated Sciences,NA,Postdoc,Yes,Become weaker
357,1,1,0,I accepted an offer at a research-intensive institution,South/Central American,1,0,Woman,Geosciences,NA,Postdoc,Yes,Not changed
358,0,0,NA,NA,Caucasian-American/European,4,3,Man,Biological Sciences,Not at all,Postdoc,Yes,Not changed
359,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,2,1,Woman,Humanities,NA,Postdoc,Yes,Not changed
360,0,0,NA,I did not recieve any offers,Caucasian-American/European,3,3,Man,Biological Sciences,NA,Postdoc,Yes,Not changed
361,0,0,0,I did not recieve any offers,Asian-American/Asian,1,42,Man,"Social, Behavior, & Economic Sciences",Somewhat,Postdoc,Yes,NA
362,NA,NA,NA,I did not recieve any offers,Caucasian-American/European,3,0,Woman,Humanities,NA,Postdoc,No,Become weaker
363,1,0,0,I did not recieve any offers,Asian-American/Asian,4,1,Man,Engineering,NA,Postdoc,Yes,NA
364,1,1,0,I accepted an offer at a primarily undergraduate institution,Caucasian-American/European,0,1,Woman,Biological Sciences,NA,Postdoc,Yes,Become stronger
365,0,NA,NA,NA,Caucasian-American/European,0,1,Woman,Integrated Sciences,NA,Postdoc,Yes,Not changed
366,0,0,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,5,0,Man,Biological Sciences,Not at all,Postdoc,Yes,Become weaker
367,0,0,0,I did not recieve any offers,African-American/Black/African,5,NA,Man,"Social, Behavior, & Economic Sciences",Not at all,NA,No,Become weaker
368,NA,NA,NA,NA,Caucasian-American/European,5,5,Woman,Humanities,NA,Postdoc,Yes,Become weaker
369,1,0,NA,I did not recieve any offers,Asian-American/Asian,25,5,Woman,Engineering,Not at all,Postdoc,Yes,Become weaker
370,0,0,NA,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,10,6,Man,Engineering,NA,Postdoc,Yes,Not changed
371,0,0,0,I did not recieve any offers,Caucasian-American/European,10,21,Woman,Humanities,NA,Postdoc,Yes,Become weaker
373,0,0,0,I did not recieve any offers,Asian-American/Asian,3,0,Woman,Biological Sciences,NA,Postdoc,Yes,Become weaker
374,0,0,NA,I did not recieve any offers,Asian-American/Asian,4,0,Man,Computer & Information Sciences,NA,Postdoc,No,Become stronger
375,NA,NA,NA,NA,"North American Indigenous (e.g., Hawaii or Alaskan Native, American Indian)",NA,NA,Man,"Social, Behavior, & Economic Sciences","Yes, significant changes",Postdoc,Yes,NA
378,1,NA,NA,I did not recieve any offers,Asian-American/Asian,0,2,Woman,"Social, Behavior, & Economic Sciences",NA,Postdoc,Yes,Not changed
379,0,0,NA,I did not recieve any offers,African-American/Black/African,7,1,Man,Engineering,NA,Postdoc,Yes,Become stronger
380,0,NA,NA,NA,Caucasian-American/European,0,1,Woman,Mathematical & Physical Sciences,NA,Postdoc,Yes,Become stronger
381,6,2,NA,"I accepted an offer at a research-intensive institution,I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because the personal compensation/benefits were insufficient,I rejected offer(s) because the start up package was insufficient",Asian-American/Asian,30,2,Woman,Chemistry,NA,Postdoc,No,Become stronger
382,4,0,0,I did not recieve any offers,Caucasian-American/North African or Middle Eastern,9,0,Man,Engineering,NA,Postdoc,Unsure,Not changed
383,2,1,0,"I rejected offer(s) because the position did not fit my career goals,I rejected offer(s) because of spouse/partner job prospects",Caucasian-American/North African or Middle Eastern,10,2,Woman,Engineering,NA,NA,No,Not changed
384,0,NA,NA,I did not recieve any offers,Caucasian-American/European,1,0,Man,Humanities,NA,Postdoc,No,Not changed
385,0,0,0,I did not recieve any offers,Caucasian-American/European,4,0,Woman,Biological Sciences,Not at all,Postdoc,Yes,Not changed
386,2,"0, though still waiting to hear from 1",0,I did not recieve any offers,Caucasian-American/European,12,0,Man,Mathematical & Physical Sciences,NA,Postdoc,Yes,Not changed
388,8,3,NA,NA,Asian-American/Asian,24,0,Woman,Engineering,Not at all,NA,Yes,Become weaker
